poem_id,prompt_id,iterations,schedule,emotion,score
2021-06-18-07-15-42,0,10,alpha,apathetic,57.25
2021-06-18-07-16-30,0,10,alpha,anxious,67.375
2021-06-18-07-17-24,0,10,alpha,embarrassed,77.625
2021-06-18-07-18-15,0,10,alpha,esteemed,48.25
2021-06-18-07-18-59,0,10,alpha,safe,93.625
2021-06-18-07-19-42,0,10,alpha,lost,69.0
2021-06-18-07-20-31,0,10,alpha,alone,76.625
2021-06-18-07-21-19,0,10,alpha,singledout,63.625
2021-06-18-07-22-00,0,10,alpha,fearful,55.5
2021-06-18-07-22-48,0,10,alpha,fearless,80.625
2021-06-18-07-23-34,0,10,alpha,lustful,76.625
2021-06-18-07-24-21,0,10,alpha,hated,78.125
2021-06-18-07-25-01,0,10,alpha,independent,74.125
2021-06-18-07-25-46,0,10,alpha,free,75.125
2021-06-18-07-26-40,0,10,alpha,attracted,60.5
2021-06-18-07-27-29,0,10,alpha,happy,70.75
2021-06-18-07-28-12,0,10,alpha,sad,73.625
2021-06-18-07-28-56,0,10,alpha,derailed,48.0
2021-06-18-07-29-44,0,10,alpha,average,68.5
2021-06-18-07-30-38,0,10,alpha,powerless,54.625
2021-06-18-07-31-25,0,10,alpha,attached,37.25
2021-06-18-07-32-09,0,10,alpha,angry,43.875
2021-06-18-07-33-00,0,10,alpha,loved,49.625
2021-06-18-07-33-39,0,10,alpha,cheated,65.875
2021-06-18-07-34-21,0,10,alpha,surprise,49.5
2021-06-18-07-34-56,0,10,beta,apathetic,76.75
2021-06-18-07-35-31,0,10,beta,anxious,73.5
2021-06-18-07-36-06,0,10,beta,embarrassed,105.125
2021-06-18-07-36-41,0,10,beta,esteemed,66.375
2021-06-18-07-37-16,0,10,beta,safe,65.5
2021-06-18-07-37-51,0,10,beta,lost,40.5
2021-06-18-07-38-26,0,10,beta,alone,29.125
2021-06-18-07-39-01,0,10,beta,singledout,53.375
2021-06-18-07-39-36,0,10,beta,fearful,39.125
2021-06-18-07-40-11,0,10,beta,fearless,79.875
2021-06-18-07-40-46,0,10,beta,lustful,35.625
2021-06-18-07-41-21,0,10,beta,hated,78.75
2021-06-18-07-41-56,0,10,beta,independent,78.75
2021-06-18-07-42-31,0,10,beta,free,23.375
2021-06-18-07-43-06,0,10,beta,attracted,78.5
2021-06-18-07-43-41,0,10,beta,happy,59.75
2021-06-18-07-44-16,0,10,beta,sad,43.125
